Consulta:
SELECT title, votes
FROM Movies
WHERE votes > 10000;
------------------------------
('Guardians of the Galaxy', 757074)
('Prometheus', 485820)
('Split', 157606)
('Sing', 60545)
('Suicide Squad', 393727)
('The Great Wall', 56036)
('La La Land', 258682)
('Passengers', 192177)
('Fantastic Beasts and Where to Find Them', 232072)
('Hidden Figures', 93103)
('Rogue One', 323118)
('Moana', 118151)
('The Secret Life of Pets', 120259)
('Hacksaw Ridge', 211760)
('Jason Bourne', 150823)
('Lion', 102061)
('Arrival', 340798)
('Gold', 19053)
('Manchester by the Sea', 134213)
('Trolls', 38552)
('Independence Day: Resurgence', 127553)
('Bahubali: The Beginning', 76193)
('Bad Moms', 66540)
("Assassin's Creed", 112813)
('Why Him?', 48123)
('Nocturnal Animals', 126030)
('X-Men: Apocalypse', 275510)
('Deadpool', 627797)
('Resident Evil: The Final Chapter', 46165)
('Captain America: Civil War', 411656)
('Interstellar', 1047747)
('Doctor Strange', 293732)
('The Magnificent Seven', 122853)
('Sausage Party', 120690)
('Moonlight', 135095)
('The Founder', 37033)
('Pirates of the Caribbean: On Stranger Tides', 395025)
('Miss Sloane', 17818)
('Star Trek Beyond', 164567)
('Star Wars: Episode VII - The Force Awakens', 661608)
('Underworld: Blood Wars', 41362)
("Mother's Day", 20221)
('John Wick', 321933)
('The Dark Knight', 1791916)
('Silence', 49190)
("Don't Breathe", 121103)
('Me Before You', 113322)
('Sully', 137608)
('Batman v Superman: Dawn of Justice', 472307)
('The Autopsy of Jane Doe', 35870)
('The Girl on the Train', 102177)
('Fifty Shades of Grey', 244474)
('The Prestige', 913152)
('Kingsman: The Secret Service', 440209)
('Patriots Day', 39784)
('Mad Max: Fury Road', 632842)
('Deepwater Horizon', 89849)
('The Promise', 149791)
('Allied', 78079)
('A Monster Calls', 39134)
('Collateral Beauty', 43977)
('Zootopia', 296853)
("Pirates of the Caribbean: At World's End", 498821)
('The Avengers', 1045588)
('Inglourious Basterds', 959065)
("Pirates of the Caribbean: Dead Man's Chest", 552027)
('Ghostbusters', 147717)
('Inception', 1583625)
('Captain Fantastic', 105081)
('The Wolf of Wall Street', 865134)
